Date,Market 1 Price [£/MWh],Market 2 Price [£/MWh],Transmission System Electricity Demand [MW],Wind Generation [MW],Solar Generation [MW],Coal Generation [MW],Gas Generation [MW],Market 3 Price [£/MWh]
2018-01-01 00:00:00,48.47,52.18,25506,10715.5,0.0152,1520.0,3796.0,48.6
2018-01-01 00:30:00,49.81,51.6,26267,10650.5,0.00851,1640.0,3796.0,48.6
2018-01-01 01:00:00,53.65,55.14,26122,10560.0,0.0019,1766.25,3796.0,48.6
2018-01-01 01:30:00,52.48,55.84,25152,10497.0,0.0039,1785.0,3687.25,48.6
2018-01-01 02:00:00,47.25,49.96,24292,10464.0,0.0019,1586.25,3257.5,48.6
2018-01-01 02:30:00,47.18,52.16,23683,10430.0,0.0038,1520.0,3052.0,48.6
2018-01-01 03:00:00,40.24,47.12,22860,10358.75,0.00585,1520.0,2312.5,48.6
2018-01-01 03:30:00,38.56,42.4,21939,10301.5,0.00607,1520.0,2099.0,48.6
2018-01-01 04:00:00,37.55,38.9,21419,10208.5,0.0103,1429.16666666666,2252.75,48.6
2018-01-01 04:30:00,36.56,41.24,21139,10061.25,0.00633,1445.83333333333,2304.0,48.6
2018-01-01 05:00:00,39.25,42.51,21184,9998.25,0.00648,1520.0,2303.0,48.6
2018-01-01 05:30:00,41.23,46.33,21462,9903.5,0.00635,1520.0,2303.0,48.6
2018-01-01 06:00:00,45.68,52.32,22335,9704.25,0.00491,1520.0,2382.5,48.6
2018-01-01 06:30:00,44.83,48.27,22806,9510.75,0.0,1520.0,3001.5,48.6
2018-01-01 07:00:00,48.87,53.35,23410,9365.75,0.00769,1520.0,3740.25,48.6
2018-01-01 07:30:00,50.73,50.94,23604,9234.0,0.0019,1520.0,3920.5,48.6
2018-01-01 08:00:00,45.01,47.7,24311,9063.0,0.00387,1520.0,4210.76666666666,48.6
2018-01-01 08:30:00,48.87,48.96,25484,8811.75,5.94,1520.0,4511.67857142857,48.6
2018-01-01 09:00:00,44.41,45.16,26885,8633.25,104.0,1355.0,5046.20833333333,48.6
2018-01-01 09:30:00,42.59,44.03,28032,8434.75,346.0,1290.0,5737.5,48.6
2018-01-01 10:00:00,46.15,47.4,29224,8264.0,596.0,1290.0,6971.03333333333,48.6
2018-01-01 10:30:00,46.19,41.34,30161,8137.5,772.0,1290.0,7746.56666666666,48.6
2018-01-01 11:00:00,54.83,51.46,31193,7825.75,974.0,1290.0,9082.08333333333,48.6
2018-01-01 11:30:00,60.57,59.84,31840,7649.75,1230.0,1290.0,9878.5,48.6
2018-01-01 12:00:00,58.75,60.6,32339,7309.25,1540.0,1290.0,10601.75,48.6
2018-01-01 12:30:00,59.88,55.7,32536,7031.25,1840.0,1290.0,10877.4166666666,48.6
2018-01-01 13:00:00,58.03,54.58,32880,6834.75,1820.0,1290.0,11303.25,48.6
2018-01-01 13:30:00,59.72,57.71,32803,6722.0,1710.0,1353.33333333333,11859.4666666666,48.6
